Tag,"(0002,0010)","(0028,0100)","(5400,1004)",VR
,,,,
"(7FE0,0010)",1.2.840.10008.1.2,,,OW
"(7Fxx,0010)",1.2.840.10008.1.2,,,OW
"(0014,3050)",1.2.840.10008.1.2,,,OW
"(60xx,3000)",1.2.840.10008.1.2,,,OW
"(5400,1010)",1.2.840.10008.1.2,,,OW
"(5400,100A)",1.2.840.10008.1.2,,,OW
"(5400,0112)",1.2.840.10008.1.2,,,OW
"(5400,0110)",1.2.840.10008.1.2,,,OW
"(50xx,200C)",1.2.840.10008.1.2,,,OW
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.1,>8,,OW
"(7FE0,0010)",1.2.840.10008.1.2.1,<=8,,OB
"(60xx,3000)",1.2.840.10008.1.2.1,,,OB
"(5400,1010)",1.2.840.10008.1.2.1,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.1,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.1,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.1,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.1,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.1,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.1,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.1,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.1,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.1,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.1,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.1,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.50,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.50,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.50,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.50,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.50,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.50,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.50,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.50,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.50,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.50,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.50,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.50,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.50,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.50,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.51,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.51,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.51,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.51,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.51,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.51,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.51,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.51,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.51,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.51,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.51,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.51,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.51,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.51,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.57,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.57,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.57,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.57,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.57,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.57,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.57,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.57,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.57,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.57,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.57,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.57,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.57,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.57,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.70,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.70,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.70,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.70,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.70,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.70,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.70,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.70,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.70,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.70,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.70,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.70,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.70,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.70,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.5,,,OB
"(60xx,3000)",1.2.840.10008.1.2.5,,,OB
"(5400,1010)",1.2.840.10008.1.2.5,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.5,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.5,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.5,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.5,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.5,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.5,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.5,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.1,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.1,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.5,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.5,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.80,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.80,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.80,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.80,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.80,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.80,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.80,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.80,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.80,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.80,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.81,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.81,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.80,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.80,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.81,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.81,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.81,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.81,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.81,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.81,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.81,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.81,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.81,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.81,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.81,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.81,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.81,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.81,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.90,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.90,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.90,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.90,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.90,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.90,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.90,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.90,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.90,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.90,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.90,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.90,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.90,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.90,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.91,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.91,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.91,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.91,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.91,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.91,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.91,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.91,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.91,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.91,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.91,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.91,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.91,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.91,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.92,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.92,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.92,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.92,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.92,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.92,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.92,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.92,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.92,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.92,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.92,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.92,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.92,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.92,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.93,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.93,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.93,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.93,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.93,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.93,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.93,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.93,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.93,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.93,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.93,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.93,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.93,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.93,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.100,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.100,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.100,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.100,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.100,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.100,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.100,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.100,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.100,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.100,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.100,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.100,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.100,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.100,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.101,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.101,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.101,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.101,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.101,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.101,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.101,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.101,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.101,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.101,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.101,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.101,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.101,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.101,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.102,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.102,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.102,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.102,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.102,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.102,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.102,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.102,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.102,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.102,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.102,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.102,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.102,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.102,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.103,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.103,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.103,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.103,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.103,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.103,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.103,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.103,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.103,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.103,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.103,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.103,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.103,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.103,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.104,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.104,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.104,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.104,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.104,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.104,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.104,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.104,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.104,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.104,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.105,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.105,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.104,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.104,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.105,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.105,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.105,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.105,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.105,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.105,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.105,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.105,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.105,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.105,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.105,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.105,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.105,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.105,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.4.106,,,OB
"(60xx,3000)",1.2.840.10008.1.2.4.106,,,OB
"(5400,1010)",1.2.840.10008.1.2.4.106,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.4.106,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.4.106,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.4.106,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.4.106,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.4.106,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.4.106,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.4.106,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.4.106,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.4.106,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.4.106,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.106,<=8,,OB
,,,,
"(7FE0,0010)",1.2.840.10008.1.2.1.99,>8,,OW
"(7FE0,0010)",1.2.840.10008.1.2.1.99,<=8,,OB
"(60xx,3000)",1.2.840.10008.1.2.1.99,,,OB
"(5400,1010)",1.2.840.10008.1.2.1.99,,<=8,OB
"(5400,1010)",1.2.840.10008.1.2.1.99,,>8,OW
"(5400,100A)",1.2.840.10008.1.2.1.99,,<=8,OB
"(5400,100A)",1.2.840.10008.1.2.1.99,,>8,OW
"(5400,0112)",1.2.840.10008.1.2.1.99,,<=8,OB
"(5400,0112)",1.2.840.10008.1.2.1.99,,>8,OW
"(5400,0110)",1.2.840.10008.1.2.1.99,,<=8,OB
"(5400,0110)",1.2.840.10008.1.2.1.99,,>8,OW
"(50xx,200C)",1.2.840.10008.1.2.1.99,,<=8,OB
"(50xx,200C)",1.2.840.10008.1.2.1.99,,>8,OW
"(0014,3050)",1.2.840.10008.1.2.1.99,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.1.99,<=8,,OB
,,,,
"(60xx,3000)",1.2.840.10008.1.2.4.94,,,OB
"(0014,3050)",1.2.840.10008.1.2.4.94,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.94,<=8,,OB
,,,,
"(60xx,3000)",1.2.840.10008.1.2.4.95,,,OB
"(0014,3050)",1.2.840.10008.1.2.4.95,>8,,OW
"(0014,3050)",1.2.840.10008.1.2.4.95,<=8,,OB